date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:44:29	812/812	---M--	200	added ('OK')	image/png	etag:%223840d6b-32c-5752678b6b480%22	http://petrogas-energy.com/wp-content/uploads/2018/09/1.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/1.png	(from http://petrogas-energy.com/about-us/)
05:44:30	755/755	---M--	200	added ('OK')	image/png	etag:%223840f2d-2f3-5752682d8b300%22	http://petrogas-energy.com/wp-content/uploads/2018/09/2.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/2.png	(from http://petrogas-energy.com/about-us/)
05:44:30	961/961	---M--	200	added ('OK')	image/png	etag:%223840d61-3c1-575268be80900%22	http://petrogas-energy.com/wp-content/uploads/2018/09/3.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/3.png	(from http://petrogas-energy.com/about-us/)
05:44:37	50375/50375	---M--	200	added ('OK')	image/jpeg	etag:%223840d65-c4c7-5754703892280%22	http://petrogas-energy.com/wp-content/uploads/2018/09/01.jpg	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/01.jpg	(from http://petrogas-energy.com/about-us/)
05:44:39	2223/2223	---MC-	200	added ('OK')	application/json	date:Wed,%2018%20Aug%202021%2012:44:39%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Foperations%2F	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embedb8c3.json	(from http://petrogas-energy.com/operations/)
05:44:42	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2018%20Aug%202021%2012:44:43%20GMT	http://petrogas-energy.com/?p=3221	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/indexbad7.html	(from http://petrogas-energy.com/operations/)
05:44:43	2320/2320	---MC-	200	added ('OK')	text/xml	date:Wed,%2018%20Aug%202021%2012:44:43%20GMT	http://petrogas-energy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpetrogas-energy.com%2Foperations%2F&format=xml	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-json/oembed/1.0/embed94e8	(from http://petrogas-energy.com/operations/)
05:44:47	205735/205735	---M--	200	added ('OK')	image/png	etag:%223840f0b-323a7-5752645ee3780%22	http://petrogas-energy.com/wp-content/uploads/2018/09/about_1.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/about_1.png	(from http://petrogas-energy.com/about-us/)
05:45:05	139425/139425	---M--	200	added ('OK')	image/png	etag:%223840d8b-220a1-57534149aed00%22	http://petrogas-energy.com/wp-content/uploads/2018/09/dessfiles2-1.png	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/wp-content/uploads/2018/09/dessfiles2-1.png	(from http://petrogas-energy.com/operations/)
05:45:08	163009/163009	---M-Z	200	added ('OK')	text/html	date:Wed,%2018%20Aug%202021%2012:45:07%20GMT	http://petrogas-energy.com/midstream/	C:/Users/hp/Documents/Projects/Html/Petrogas/petrogas-energy.com/midstream/index.html	(from http://petrogas-energy.com/operations/)
